optS0 = -1603.15503365
tdS0  = -1603.06537894
optS1 = -1603.0746096
optR1 = -1603.06827809

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
D112 D(37,32,34,39)        0.7404        0.3440        0.2666
D113 D(31,33,35,34)       -0.1396        0.0117        0.0188
D114 D(31,33,35,50)      179.8532     -179.9464      179.9542
D115 D(38,33,35,34)     -179.6840     -179.9313     -179.8011
D116 D(38,33,35,50)        0.3088        0.1106        0.1343
D117 D(32,34,35,33)       -0.0872        0.0234       -0.0257
D118 D(32,34,35,50)      179.9207      179.9777     -179.9552
D119 D(39,34,35,33)     -179.6657     -179.8344     -179.9404
D120 D(39,34,35,50)        0.3421        0.1198        0.1301
D121 D(33,35,50,51)     -179.7742      179.8914     -179.7150
D122 D(34,35,50,51)        0.2182       -0.0643        0.2168
D123 D(15,40,41,43)     -179.7502     -179.8309     -179.6176
D124 D(15,40,41,46)        1.1489        0.5897        0.8992
D125 D(42,40,41,43)        0.1337        0.0336        0.1776
D126 D(42,40,41,46)     -178.9672     -179.5458     -179.3056
D127 D(15,40,42,44)     -179.9974      179.8252      179.6142
D128 D(15,40,42,47)        0.9411        0.3036        0.1998
D129 D(41,40,42,44)        0.1194       -0.0382       -0.1797
D130 D(41,40,42,47)     -178.9421     -179.5598     -179.5941
D131 D(40,41,43,45)       -0.2671        0.0034       -0.0502
D132 D(40,41,43,48)     -179.7463     -179.8616     -179.8590
D133 D(46,41,43,45)      178.8406      179.5858      179.4371
D134 D(46,41,43,48)       -0.6387       -0.2792       -0.3717
D135 D(40,42,44,45)       -0.2371        0.0055        0.0534
D136 D(40,42,44,49)     -179.8208     -179.8608     -179.7908
D137 D(47,42,44,45)      178.8395      179.5350      179.4773
D138 D(47,42,44,49)       -0.7443       -0.3314       -0.3668
D139 D(41,43,45,44)        0.1460       -0.0371       -0.0816
D140 D(41,43,45,55)     -179.8148      179.9725      179.9650
D141 D(48,43,45,44)      179.6394      179.8320      179.7328
D142 D(48,43,45,55)       -0.3214       -0.1585       -0.2205
D143 D(42,44,45,43)        0.1018        0.0325        0.0800
D144 D(42,44,45,55)     -179.9409     -179.9779     -179.9709
D145 D(49,44,45,43)      179.6768      179.8964      179.9212
D146 D(49,44,45,55)       -0.3659       -0.1140       -0.1297
D147 D(43,45,55,56)      179.6828     -179.9478      179.9163
D148 D(44,45,55,56)       -0.2757        0.0623       -0.0344
D149 D(35,50,51,52)      179.7699     -179.9839      179.7916
D150 D(35,50,51,53)      -61.2617      -61.0316      -61.2639
D151 D(35,50,51,54)       60.7826       61.0639       60.8380
D152 D(45,55,56,57)     -179.7702     -179.9700     -179.9720
D153 D(45,55,56,58)      -60.7855      -61.0230      -61.0093
D154 D(45,55,56,59)       61.2601       61.0798       61.0727
