optS0 = -1603.15439809
tdS0  = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D25   D(4,3,30,31)      -18.9908       -4.7558       -4.6110
 D26   D(4,3,30,32)      160.9379      175.0851      175.2574
 D27     D(3,4,5,1)       -0.7951       -1.4113        0.3319
 D28    D(3,4,5,12)      179.2639      177.1326      172.5395
 D29    D(22,4,5,1)      179.8123      179.3771     -174.7305
 D30   D(22,4,5,12)       -0.1287       -2.0790       -2.5228
 D31   D(1,5,12,11)      179.0722     -179.8279     -154.4666
 D32   D(1,5,12,13)       -0.1285        3.6207       29.7061
 D33   D(4,5,12,11)       -0.9932        1.7842       34.0918
 D34   D(4,5,12,13)      179.8061     -174.7672     -141.7355
 D35    D(11,6,7,8)       -0.7435       -0.1356        0.8872
 D36   D(11,6,7,24)      179.1374      179.3962     -179.9141
 D37    D(23,6,7,8)     -179.2081     -178.8621     -176.8577
 D38   D(23,6,7,24)        0.6727        0.6697        2.3411
 D39   D(7,6,11,10)        0.5262        0.4225       -3.3915
 D40   D(7,6,11,12)     -179.7222      179.8277     -179.6472
 D41  D(23,6,11,10)      179.0015      179.1574      174.3169
 D42  D(23,6,11,12)       -1.2469       -1.4375       -1.9388
 D43     D(6,7,8,9)        0.2699       -0.1881        1.7573
 D44    D(6,7,8,25)     -179.6645      179.9738     -179.8322
 D45    D(24,7,8,9)     -179.6103     -179.7174     -177.4339
 D46   D(24,7,8,25)        0.4553        0.4445        0.9765
 D47    D(7,8,9,10)        0.4206        0.2158       -1.7618
 D48    D(7,8,9,26)     -179.3785     -179.1437      177.4481
 D49   D(25,8,9,10)     -179.6449     -179.9461      179.8278
 D50   D(25,8,9,26)        0.5560        0.6944       -0.9624
 D51   D(8,9,10,11)       -0.6354        0.0799       -0.8782
 D52   D(8,9,10,27)     -178.8954     -178.0701      176.8800
 D53  D(26,9,10,11)      179.1648      179.4429      179.9046
 D54  D(26,9,10,27)        0.9047        1.2930       -2.3373
 D55   D(9,10,11,6)        0.1623       -0.3946        3.3870
 D56  D(9,10,11,12)     -179.5884     -179.7939      179.6407
 D57  D(27,10,11,6)      178.4326      177.7609     -174.3349
 D58 D(27,10,11,12)       -1.3181       -1.6385        1.9187
 D59   D(6,11,12,5)      128.3549      134.7787     -179.8539
 D60  D(6,11,12,13)      -52.4440      -48.7283       -4.4190
 D61  D(10,11,12,5)      -51.8960      -45.8342        4.0754
 D62 D(10,11,12,13)      127.3051      130.6588      179.5103
 D63  D(5,12,13,14)      173.0465      168.8874      141.7323
 D64  D(5,12,13,17)       -1.5968       -5.2193      -29.6470
 D65 D(11,12,13,14)       -6.1582       -7.7135      -34.0978
 D66 D(11,12,13,17)      179.1984      178.1799      154.5230
 D67 D(12,13,14,15)     -175.5130     -174.2074     -172.4229
 D68 D(12,13,14,28)        2.0610        2.6346        2.4544
 D69 D(17,13,14,15)       -0.3357        0.4936       -0.2694
 D70 D(17,13,14,28)      177.2383      177.3356      174.6079
 D71 D(12,13,17,16)      175.9849      174.7158      173.5947
 D72 D(12,13,17,19)       -5.3459       -8.9306       -6.5788
 D73 D(14,13,17,16)        0.2310       -0.6324        0.1810
 D74 D(14,13,17,19)      178.9001      175.7213     -179.9925
 D75 D(13,14,15,16)        0.3043       -0.1867        0.2550
 D76 D(13,14,15,40)      179.9815      179.5224     -179.5039
 D77 D(28,14,15,16)     -177.2011     -176.9323     -174.5770
 D78 D(28,14,15,40)        2.4761        2.7768        5.6641
 D79 D(14,15,16,17)       -0.1695       -0.2085       -0.1463
 D80 D(14,15,16,29)     -179.6689     -179.4663     -178.9354
 D81 D(40,15,16,17)     -179.8547     -179.9267      179.6193
 D82 D(40,15,16,29)        0.6458        0.8155        0.8302
 D83 D(14,15,40,41)       19.8630        5.2622        6.0374
 D84 D(14,15,40,42)     -160.0133     -174.6013     -173.7507
 D85 D(16,15,40,41)     -160.5219     -175.0827     -173.6762
 D86 D(16,15,40,42)       19.6017        5.0539        6.5358
 D87 D(15,16,17,13)       -0.0387        0.5208       -0.0201
 D88 D(15,16,17,19)     -178.7038     -175.8279     -179.8351
 D89 D(29,16,17,13)      179.5106      179.8594      178.9065
 D90 D(29,16,17,19)        0.8455        3.5107       -0.9085
 D91  D(13,17,19,1)       11.5813       20.5931       37.2620
