optS0 = -1603.15474293
tdS0  = -1603.06452864
optS1 = -1603.07430552
optR1 = -1603.06792979

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D83 D(14,15,40,41)       20.2260        5.4604        4.3855
 D84 D(14,15,40,42)     -159.6779     -174.4560     -175.4719
 D85 D(16,15,40,41)     -160.0834     -174.7768     -175.3938
 D86 D(16,15,40,42)       20.0127        5.3068        4.7488
 D87 D(15,16,17,13)       -0.0145        0.5301       -0.0635
 D88 D(15,16,17,19)     -178.7929     -175.7390     -179.9902
 D89 D(29,16,17,13)      179.5524      179.8390      179.0626
 D90 D(29,16,17,19)        0.7740        3.5699       -0.8641
 D91  D(13,17,19,1)       11.3348       20.5281       37.0884
 D92 D(13,17,19,18)      131.0296      140.2287      155.2282
 D93 D(13,17,19,20)     -107.1297      -98.3236      -81.0043
 D94  D(16,17,19,1)     -170.0942     -163.8110     -142.9938
 D95 D(16,17,19,18)      -50.3994      -44.1105      -24.8540
 D96 D(16,17,19,20)       71.4413       77.3372       98.9135
 D97  D(3,30,31,33)      179.8729      179.9694      179.6673
 D98  D(3,30,31,36)       -1.0223       -0.3489       -0.7495
 D99 D(32,30,31,33)       -0.0909        0.0713       -0.1930
D100 D(32,30,31,36)      179.0139      179.7530      179.3902
D101  D(3,30,32,34)      179.8898     -179.9394     -179.6835
D102  D(3,30,32,37)       -1.0176       -0.4124       -0.0941
D103 D(31,30,32,34)       -0.1465       -0.0419        0.1762
D104 D(31,30,32,37)      178.9461      179.4850      179.7657
D105 D(30,31,33,35)        0.2399       -0.0453        0.0689
D106 D(30,31,33,38)      179.7968      179.8737      179.8940
D107 D(36,31,33,35)     -178.8758     -179.7306     -179.5194
D108 D(36,31,33,38)        0.6811        0.1883        0.3056
D109 D(30,32,34,35)        0.2330       -0.0127       -0.0368
D110 D(30,32,34,39)      179.7978      179.8562      179.8448
D111 D(37,32,34,35)     -178.8705     -179.5456     -179.6316
D112 D(37,32,34,39)        0.6943        0.3232        0.2500
D113 D(31,33,35,34)       -0.1516       -0.0116        0.0769
D114 D(31,33,35,50)      179.8363     -179.9805     -179.9748
D115 D(38,33,35,34)     -179.6994     -179.9290     -179.7448
D116 D(38,33,35,50)        0.2885        0.1021        0.2034
D117 D(32,34,35,33)       -0.0805        0.0402       -0.0928
D118 D(32,34,35,50)      179.9306     -179.9883      179.9546
D119 D(39,34,35,33)     -179.6569     -179.8325     -179.9778
D120 D(39,34,35,50)        0.3542        0.1390        0.0697
D121 D(33,35,50,51)        0.0766       -0.0567        0.1800
D122 D(34,35,50,51)     -179.9352      179.9734     -179.8701
D123 D(15,40,41,43)     -179.7470     -179.9132     -179.6702
D124 D(15,40,41,46)        1.1955        0.5624        0.7439
D125 D(42,40,41,43)        0.1600        0.0064        0.1924
D126 D(42,40,41,46)     -178.8974     -179.5180     -179.3935
D127 D(15,40,42,44)     -179.9931      179.9018      179.6867
D128 D(15,40,42,47)        0.9252        0.3720        0.0942
D129 D(41,40,42,44)        0.1002       -0.0172       -0.1753
D130 D(41,40,42,47)     -178.9815     -179.5470     -179.7679
D131 D(40,41,43,45)       -0.2828        0.0089       -0.0693
D132 D(40,41,43,48)     -179.7869     -179.8468     -179.8951
D133 D(46,41,43,45)      178.7852      179.5385      179.5217
D134 D(46,41,43,48)       -0.7189       -0.3172       -0.3041
D135 D(40,42,44,45)       -0.2353        0.0127        0.0365
D136 D(40,42,44,49)     -179.7959     -179.8611     -179.8463
D137 D(47,42,44,45)      178.8576      179.5484      179.6344
D138 D(47,42,44,49)       -0.7031       -0.3254       -0.2484
D139 D(41,43,45,44)        0.1439       -0.0137       -0.0759
D140 D(41,43,45,55)     -179.8144     -179.9841      179.9757
D141 D(48,43,45,44)      179.6378      179.8393      179.7466
D142 D(48,43,45,55)       -0.3205       -0.1310       -0.2018
D143 D(42,44,45,43)        0.1104        0.0031        0.0921
D144 D(42,44,45,55)     -179.9278      179.9760     -179.9551
D145 D(49,44,45,43)      179.6828      179.8806      179.9783
D146 D(49,44,45,55)       -0.3554       -0.1465       -0.0689
D147 D(43,45,55,56)        0.0193       -0.0165       -0.1816
D148 D(44,45,55,56)     -179.9402     -179.9878      179.8683
D149 D(35,50,51,52)      179.8794      179.9796      179.8716
D150 D(35,50,51,53)      -61.1524      -61.0807      -61.1801
D151 D(35,50,51,54)       60.8925       61.0255       60.9111
D152 D(45,55,56,57)     -179.8901     -179.9706     -179.8703
D153 D(45,55,56,58)      -60.9063      -61.0146      -60.9097
D154 D(45,55,56,59)       61.1432       61.0931       61.1814
