optS0 = -1603.15431279
tdS0  = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
D101  D(3,30,32,34)      179.8917     -179.9409     -179.6813
D102  D(3,30,32,37)       -1.0205       -0.4179       -0.0953
D103 D(31,30,32,34)       -0.1446       -0.0405        0.1771
D104 D(31,30,32,37)      178.9432      179.4825      179.7631
D105 D(30,31,33,35)        0.2422       -0.0450        0.0689
D106 D(30,31,33,38)      179.7934      179.8701      179.8936
D107 D(36,31,33,35)     -178.8636     -179.7212     -179.5167
D108 D(36,31,33,38)        0.6876        0.1939        0.3080
D109 D(30,32,34,35)        0.2339       -0.0134       -0.0375
D110 D(30,32,34,39)      179.7968      179.8554      179.8431
D111 D(37,32,34,35)     -178.8646     -179.5424     -179.6288
D112 D(37,32,34,39)        0.6983        0.3264        0.2518
D113 D(31,33,35,34)       -0.1510       -0.0111        0.0772
D114 D(31,33,35,50)      179.8358     -179.9807     -179.9742
D115 D(38,33,35,34)     -179.6930     -179.9247     -179.7442
D116 D(38,33,35,50)        0.2938        0.1057        0.2044
D117 D(32,34,35,33)       -0.0828        0.0399       -0.0927
D118 D(32,34,35,50)      179.9293     -179.9879      179.9544
D119 D(39,34,35,33)     -179.6574     -179.8327     -179.9768
D120 D(39,34,35,50)        0.3547        0.1394        0.0703
D121 D(33,35,50,51)        0.0776       -0.0617        0.1795
D122 D(34,35,50,51)     -179.9352      179.9677     -179.8703
D123 D(15,40,41,43)     -179.7436     -179.9133     -179.6682
D124 D(15,40,41,46)        1.2045        0.5609        0.7485
D125 D(42,40,41,43)        0.1623        0.0074        0.1931
D126 D(42,40,41,46)     -178.8896     -179.5185     -179.3902
D127 D(15,40,42,44)     -179.9955      179.9029      179.6845
D128 D(15,40,42,47)        0.9278        0.3716        0.0953
D129 D(41,40,42,44)        0.0989       -0.0171       -0.1763
D130 D(41,40,42,47)     -178.9778     -179.5485     -179.7654
D131 D(40,41,43,45)       -0.2841        0.0076       -0.0694
D132 D(40,41,43,48)     -179.7853     -179.8485     -179.8948
D133 D(46,41,43,45)      178.7783      179.5385      179.5190
D134 D(46,41,43,48)       -0.7230       -0.3175       -0.3064
D135 D(40,42,44,45)       -0.2359        0.0118        0.0372
D136 D(40,42,44,49)     -179.7946     -179.8618     -179.8446
D137 D(47,42,44,45)      178.8519      179.5491      179.6316
D138 D(47,42,44,49)       -0.7068       -0.3246       -0.2502
