optS0 = -1603.15231614
tdS0  = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D97  D(3,30,31,33)      179.8506      179.9787      179.6579
 D98  D(3,30,31,36)       -1.0997       -0.3881       -0.7745
 D99 D(32,30,31,33)       -0.1112        0.0637       -0.1957
D100 D(32,30,31,36)      178.9385      179.6969      179.3719
D101  D(3,30,32,34)      179.9032     -179.9478     -179.6722
D102  D(3,30,32,37)       -1.0327       -0.4400       -0.1027
D103 D(31,30,32,34)       -0.1351       -0.0334        0.1808
D104 D(31,30,32,37)      178.9291      179.4745      179.7504
D105 D(30,31,33,35)        0.2523       -0.0432        0.0690
D106 D(30,31,33,38)      179.7774      179.8555      179.8919
D107 D(36,31,33,35)     -178.8081     -179.6804     -179.5037
D108 D(36,31,33,38)        0.7170        0.2182        0.3192
D109 D(30,32,34,35)        0.2381       -0.0166       -0.0406
D110 D(30,32,34,39)      179.7913      179.8525      179.8353
D111 D(37,32,34,35)     -178.8366     -179.5303     -179.6154
D112 D(37,32,34,39)        0.7166        0.3388        0.2604
D113 D(31,33,35,34)       -0.1469       -0.0087        0.0779
D114 D(31,33,35,50)      179.8349     -179.9816     -179.9715
D115 D(38,33,35,34)     -179.6624     -179.9055     -179.7417
D116 D(38,33,35,50)        0.3194        0.1216        0.2089
D117 D(32,34,35,33)       -0.0938        0.0382       -0.0919
D118 D(32,34,35,50)      179.9229     -179.9866      179.9534
D119 D(39,34,35,33)     -179.6592     -179.8348     -179.9714
D120 D(39,34,35,50)        0.3574        0.1403        0.0739
D121 D(33,35,50,51)        0.0887       -0.0845        0.1761
D122 D(34,35,50,51)     -179.9290      179.9418     -179.8718
D123 D(15,40,41,43)     -179.7270     -179.9135     -179.6603
D124 D(15,40,41,46)        1.2469        0.5546        0.7693
D125 D(42,40,41,43)        0.1729        0.0123        0.1954
D126 D(42,40,41,46)     -178.8532     -179.5197     -179.3750
D127 D(15,40,42,44)      179.9924      179.9082      179.6750
D128 D(15,40,42,47)        0.9399        0.3697        0.1025
D129 D(41,40,42,44)        0.0928       -0.0170       -0.1802
D130 D(41,40,42,47)     -178.9597     -179.5555     -179.7527
D131 D(40,41,43,45)       -0.2901        0.0015       -0.0695
D132 D(40,41,43,48)     -179.7780     -179.8561     -179.8931
D133 D(46,41,43,45)      178.7462      179.5382      179.5060
D134 D(46,41,43,48)       -0.7417       -0.3194       -0.3176
D135 D(40,42,44,45)       -0.2387        0.0080        0.0403
D136 D(40,42,44,49)     -179.7879     -179.8649     -179.8367
D137 D(47,42,44,45)      178.8246      179.5521      179.6181
D138 D(47,42,44,49)       -0.7246       -0.3208       -0.2589
D139 D(41,43,45,44)        0.1399       -0.0109       -0.0770
D140 D(41,43,45,55)     -179.8169     -179.9829      179.9723
D141 D(48,43,45,44)      179.6174      179.8441      179.7433
D142 D(48,43,45,55)       -0.3393       -0.1279       -0.2074
